Name,ReleaseDate,Certificate,Rating,Runtime,Director,Genre,Grossing
Scream 2,"Dec 12, 1997",R,2.9/5,120 minutes,Wes Craven,"Comedy,Horror,Mystery & Suspense",
Donnie Brasco,"Feb 28, 1997",R,3.7/5,115 minutes,Mike Newell,"Drama,Mystery & Suspense",
The Spanish Prisoner,"Sep 8, 1997",PG,3.7/5,112 minutes,David Mamet,"Drama,Mystery & Suspense",
Life Is Beautiful (La Vita è bella),"Dec 20, 1997",PG-13,4.3/5,122 minutes,Roberto Benigni,"Art House & International,Comedy,Drama",
The Rainmaker,"Nov 20, 1997",PG-13,3.4/5,135 minutes,Francis Ford Coppola,"Drama,Mystery & Suspense",
In the Company of Men,"Aug 1, 1997",R,3.7/5,97 minutes,Neil LaBute,"Art House & International,Comedy,Drama",
As Good as It Gets,"Dec 23, 1997",PG-13,3.5/5,139 minutes,James L. Brooks,"Comedy,Drama,Romance",
Wag the Dog,"Dec 25, 1997",R,3.4/5,97 minutes,Barry Levinson,Comedy,
Affliction,"Jun 1, 1997",R,3.5/5,114 minutes,Paul Schrader,"Drama,Mystery & Suspense",
Jackie Brown,"Dec 25, 1997",R,3.5/5,154 minutes,Quentin Tarantino,"Action & Adventure,Drama,Mystery & Suspense",
Chasing Amy,"Apr 4, 1997",R,3.5/5,113 minutes,Kevin Smith,"Comedy,Romance",
Mrs. Brown,"Jul 18, 1997",PG,3.7/5,103 minutes,John Madden,"Drama,Romance",
Anastasia,"Nov 14, 1997",G,3.3/5,94 minutes,Don Bluth,"Action & Adventure,Animation,Drama,Kids & Family",
"Lock, Stock and Two Smoking Barrels","Mar 5, 1999",R,4/5,105 minutes,Guy Ritchie,"Action & Adventure,Comedy,Drama,Mystery & Suspense",
The Adventures of Elmo in Grouchland,"Oct 1, 1999",G,3.2/5,77 minutes,Gary Halvorson,"Comedy,Kids & Family,Science Fiction & Fantasy",
Get Real,"Apr 30, 1999",R,3.8/5,108 minutes,Simon Shore,"Comedy,Drama,Gay & Lesbian",
Sweet and Lowdown,"Dec 3, 1999",PG-13,3.6/5,95 minutes,Woody Allen,"Art House & International,Comedy,Drama,Musical & Performing Arts",
"Happy, Texas",,,3.1/5,,,,
Twin Falls Idaho,,,3.8/5,,,,
Audition (Ôdishon),"Jan 1, 1999",R,3.8/5,115 minutes,Takashi Miike,"Art House & International,Horror,Mystery & Suspense",
Eyes Wide Shut,"Jul 16, 1999",R,3/5,159 minutes,Stanley Kubrick,"Drama,Romance",
Office Space,"Feb 19, 1999",R,4/5,90 minutes,Mike Judge,"Comedy,Special Interest,Romance",
"South Park: Bigger, Longer & Uncut","Jun 30, 1999",R,3.7/5,80 minutes,Trey Parker,"Animation,Comedy,Musical & Performing Arts,Special Interest",
Jesus' Son,,,3.8/5,,,,
Beyond the Mat,"Oct 22, 1999",R,3.7/5,102 minutes,Barry W. Blaustein,"Documentary,Special Interest,Sports & Fitness",
Bowfinger,"Aug 13, 1999",PG-13,2.8/5,97 minutes,Frank Oz,Comedy,
Mansfield Park,"Nov 24, 1999",PG-13,3.6/5,98 minutes,Patricia Rozema,"Comedy,Drama,Romance",
Notting Hill,"May 28, 1999",PG-13,3.3/5,124 minutes,Roger Michell,"Comedy,Romance",
Fight Club,"Oct 15, 1999",R,4.2/5,139 minutes,David Fincher,"Comedy,Drama",
Open Your Eyes (Abre los Ojos),"Apr 16, 1999",R,3.9/5,117 minutes,Alejandro Amenábar,"Art House & International,Drama,Horror,Mystery & Suspense",
The Green Mile,"Dec 10, 1999",R,4.1/5,188 minutes,Frank Darabont,"Drama,Mystery & Suspense,Science Fiction & Fantasy",
Cookie's Fortune,"Apr 2, 1999",PG-13,3.3/5,118 minutes,Robert Altman,"Comedy,Drama",
Trekkies,"May 21, 1999",PG,3.4/5,60 minutes,Roger Nygard,"Documentary,Science Fiction & Fantasy,Special Interest,Television",
Liberty Heights,"Nov 17, 1999",R,3.4/5,132 minutes,Barry Levinson,"Comedy,Drama",
Felicia's Journey,"Nov 12, 1999",PG-13,3.4/5,116 minutes,Atom Egoyan,"Drama,Mystery & Suspense",
Magnolia,"Dec 17, 1999",R,3.7/5,188 minutes,Paul Thomas Anderson,Drama,
The Talented Mr. Ripley,"Dec 25, 1999",R,3.4/5,139 minutes,Anthony Minghella,"Drama,Mystery & Suspense",
Girl on the Bridge (La Fille sur le Pont),,,4.1/5,,,,
Boys Don't Cry,,,3.7/5,,,,
Show Me Love (Fucking Åmål),,,3.9/5,,,,
Himalaya (L'Enfance d'un Chef) (Caravan),,,4.1/5,,,,
Tumbleweeds,"Nov 24, 1999",PG-13,3.5/5,104 minutes,Gavin O'Connor,"Comedy,Drama",
October Sky,"Feb 19, 1999",PG,3.7/5,107 minutes,Joe Johnston,Drama,
The Sixth Sense,"Aug 6, 1999",PG-13,3.8/5,105 minutes,M. Night Shyamalan,Mystery & Suspense,
Topsy-Turvy,"Dec 17, 1999",R,3.6/5,160 minutes,Mike Leigh,"Art House & International,Comedy,Drama,Musical & Performing Arts",
An Ideal Husband,"Jun 18, 1999",PG-13,3.4/5,96 minutes,Oliver Parker,Comedy,
The Hurricane,"Dec 29, 1999",R,3.7/5,146 minutes,Norman Jewison,"Drama,Mystery & Suspense,Sports & Fitness",
Tarzan,"Jun 16, 1999",G,3.2/5,88 minutes,"Chris Buck,Kevin Lima","Action & Adventure,Animation,Drama",
The Matrix,"Mar 31, 1999",R,3.6/5,136 minutes,"Lilly Wachowski,Lana Wachowski","Action & Adventure,Science Fiction & Fantasy",
The Blair Witch Project,"Jul 30, 1999",R,2.6/5,84 minutes,"Eduardo Sánchez,Daniel Myrick",Horror,
The Limey,"Oct 8, 1999",R,3.6/5,89 minutes,Steven Soderbergh,"Drama,Mystery & Suspense",
American Movie,"Nov 5, 1999",R,4/5,107 minutes,Chris Smith,"Comedy,Documentary,Special Interest,Television",
Princess Mononoke (Mononoke-hime),"Oct 7, 1999",PG-13,4.2/5,133 minutes,Hayao Miyazaki,"Action & Adventure,Animation,Drama,Kids & Family,Science Fiction & Fantasy",
American Beauty,"Oct 1, 1999",R,3.8/5,122 minutes,Sam Mendes,"Comedy,Drama",
Run Lola Run,"Jun 18, 1999",R,3.8/5,81 minutes,Tom Tykwer,"Action & Adventure,Art House & International,Drama,Mystery & Suspense",
Being John Malkovich,"Oct 29, 1999",R,3.6/5,112 minutes,Spike Jonze,"Comedy,Drama,Science Fiction & Fantasy",
Buena Vista Social Club,"Jun 4, 1999",G,4/5,105 minutes,Wim Wenders,"Documentary,Musical & Performing Arts",
Galaxy Quest,"Dec 25, 1999",PG,3.1/5,102 minutes,Dean Parisot,"Comedy,Science Fiction & Fantasy",
Election,"May 3, 1999",R,3.4/5,102 minutes,Alexander Payne,Comedy,
Three Kings,"Oct 1, 1999",R,3.3/5,115 minutes,David O. Russell,"Action & Adventure,Comedy",
The Straight Story,"Oct 15, 1999",G,4/5,111 minutes,David Lynch,"Action & Adventure,Drama,Kids & Family",
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.","Dec 29, 1999",PG-13,3.9/5,96 minutes,Errol Morris,"Documentary,Drama,Special Interest",
All About My Mother (Todo sobre mi madre),"Apr 16, 1999",R,4.2/5,101 minutes,Pedro Almodóvar,"Art House & International,Drama",
Yi Yi,"Oct 6, 2000",NR,4.3/5,173 minutes,Edward Yang,"Art House & International,Drama",
Go,"Apr 9, 1999",R,3.3/5,103 minutes,Doug Liman,"Comedy,Drama",
Chicken Run,"Jun 21, 2000",G,3/5,85 minutes,"Peter Lord,Nick Park","Action & Adventure,Animation,Comedy,Drama,Kids & Family","$106,604,314"
The Life and Times of Hank Greenberg,,,3.7/5,,,,
You Can Count On Me,"Nov 10, 2000",R,3.9/5,109 minutes,Kenneth Lonergan,Drama,"$8,409,329"
Men in Black,"Jul 2, 1997",PG-13,3.5/5,98 minutes,Barry Sonnenfeld,"Action & Adventure,Comedy,Science Fiction & Fantasy",
The Taste of Others (Le goût des autres),"Jan 1, 2000",R,3.8/5,112 minutes,Agnès Jaoui,"Art House & International,Comedy,Drama",
The Full Monty,"Aug 13, 1997",R,3.3/5,91 minutes,Peter Cattaneo,"Comedy,Musical & Performing Arts",
Ulee's Gold,"Jun 13, 1997",R,3.5/5,111 minutes,Victor Nuñez,Drama,
Good Will Hunting,"Dec 5, 1997",R,3.9/5,126 minutes,Gus Van Sant,Drama,
Titanic,"Dec 19, 1997",PG-13,3.3/5,194 minutes,James Cameron,"Drama,Romance",
Boogie Nights,"Oct 17, 1997",R,3.6/5,155 minutes,Paul Thomas Anderson,"Comedy,Drama",
Face/Off,"Jun 27, 1997",R,3.5/5,138 minutes,John Woo,Action & Adventure,
Toy Story 2,"Nov 24, 1999",G,3.5/5,92 minutes,John Lasseter,"Animation,Comedy,Kids & Family",
Legally Blonde,"Jul 13, 2001",PG-13,3.1/5,96 minutes,Robert Luketic,Comedy,"$95,001,351"
The Sweet Hereafter,"Nov 20, 1997",R,4/5,110 minutes,Atom Egoyan,Drama,
L.A. Confidential,"Sep 19, 1997",R,3.8/5,138 minutes,Curtis Hanson,"Drama,Mystery & Suspense",
Baby Boy,"Jun 27, 2001",R,3.8/5,130 minutes,John Singleton,Drama,"$27,823,989"
Chopper,"Apr 11, 2001",R,3.9/5,94 minutes,Andrew Dominik,"Drama,Mystery & Suspense",
The Iron Giant,"Jul 1, 1999",PG,3.4/5,86 minutes,Brad Bird,"Animation,Kids & Family,Science Fiction & Fantasy",
The Insider,"Nov 5, 1999",R,3.8/5,157 minutes,Michael Mann,Drama,
Made,"Jul 13, 2001",R,3.2/5,95 minutes,Jon Favreau,"Action & Adventure,Comedy,Drama","$3,673,981"
Fat Girl,"Oct 8, 2001",NR,3.4/5,86 minutes,Catherine Breillat,"Art House & International,Classics,Drama",
The Piano Teacher (La Pianiste),"Sep 1, 2001",R,3.8/5,130 minutes,Michael Haneke,"Drama,Musical & Performing Arts",
Behind the Sun,"Dec 12, 2001",PG-13,3.9/5,105 minutes,"Walter Salles,Liria Bégéja","Art House & International,Drama",
Tortilla Soup,"Aug 24, 2001",PG-13,3.5/5,102 minutes,María Ripoll,"Comedy,Romance","$2,923,596"
Songcatcher,"Jun 29, 2001",PG-13,3.6/5,112 minutes,Maggie Greenwald,"Drama,Musical & Performing Arts,Romance","$1,634,064"
Before Night Falls,"Jan 12, 2001",R,3.8/5,125 minutes,Julian Schnabel,Drama,"$2,768,814"
Das Experiment (The Experiment),"Jan 1, 2001",R,3.9/5,116 minutes,Oliver Hirschbiegel,"Art House & International,Drama,Mystery & Suspense",
Joy Ride,"Oct 5, 2001",R,3.1/5,96 minutes,John Dahl,"Action & Adventure,Mystery & Suspense","$21,254,983"
Training Day,"Oct 5, 2001",R,3.7/5,122 minutes,Antoine Fuqua,"Action & Adventure,Drama,Mystery & Suspense",
Buffalo Soldiers,"Jan 1, 2001",R,3.4/5,98 minutes,Gregor Jordan,"Comedy,Drama,Mystery & Suspense",
Me You Them,"Mar 2, 2001",PG-13,3.5/5,104 minutes,Andrucha Waddington,"Art House & International,Comedy,Drama,Romance",
Snatch,"Jan 19, 2001",R,4/5,103 minutes,Guy Ritchie,"Action & Adventure,Comedy,Drama,Mystery & Suspense","$30,093,107"
The Cat's Meow,"Aug 3, 2001",PG-13,3.1/5,112 minutes,Peter Bogdanovich,"Comedy,Drama","$3,176,936"
A.I. Artificial Intelligence,"Jun 29, 2001",PG-13,3.1/5,145 minutes,Steven Spielberg,"Drama,Science Fiction & Fantasy",
Our Lady of the Assassins,"Sep 7, 2001",R,3.4/5,98 minutes,Barbet Schroeder,"Art House & International,Drama,Mystery & Suspense,Romance",
The Tailor of Panama,"Mar 30, 2001",R,3/5,110 minutes,John Boorman,"Action & Adventure,Art House & International,Comedy,Drama,Mystery & Suspense","$13,123,070"
Black Hawk Down,"Dec 28, 2001",R,3.7/5,152 minutes,Ridley Scott,"Action & Adventure,Drama","$108,585,355"
Tape,"Nov 16, 2001",R,3.6/5,84 minutes,Richard Linklater,Drama,
The Score,"Jul 13, 2001",R,3.3/5,123 minutes,Frank Oz,"Action & Adventure,Drama","$70,307,038"
Lumumba,"Jun 27, 2001",PG,3.8/5,115 minutes,Raoul Peck,"Art House & International,Drama,Mystery & Suspense",
A Beautiful Mind,"Dec 21, 2001",PG-13,3.9/5,135 minutes,Ron Howard,Drama,
Diamond Men,"Sep 28, 2001",R,3.3/5,102 minutes,Daniel M. Cohen,"Comedy,Drama",
The Business of Strangers,"Dec 7, 2001",R,3.1/5,84 minutes,Patrick Stettner,Drama,"$495,907"
Ni na bian ji dian (What Time Is It Over There?),,,3.8/5,,,,
The Pledge,"Jan 19, 2001",R,3.2/5,124 minutes,Sean Penn,"Drama,Mystery & Suspense","$18,894,185"
Little Otik,"Dec 19, 2001",NR,3.9/5,125 minutes,Jan Svankmajer,"Art House & International,Comedy,Drama,Mystery & Suspense,Science Fiction & Fantasy",
Waking Life,,,4/5,,,,
Jump Tomorrow,"Jan 19, 2001",PG,4.1/5,95 minutes,Joel Hopkins,"Comedy,Drama,Romance",
Innocence,"Aug 17, 2001",R,3.4/5,92 minutes,Paul Cox,"Art House & International,Drama,Romance",
Bridget Jones's Diary,"Apr 13, 2001",R,3.3/5,94 minutes,Sharon Maguire,"Comedy,Romance",
The Man Who Wasn't There,"Oct 31, 2001",R,3.7/5,117 minutes,Joel Coen,"Comedy,Drama,Romance","$7,408,031"
Thirteen Conversations About One Thing,"Sep 1, 2001",R,3.4/5,104 minutes,Jill Sprecher,"Art House & International,Comedy,Drama","$3,004,491"
Iris,,,3.6/5,,,,
Moulin Rouge!,"May 16, 2001",PG-13,3.7/5,126 minutes,Baz Luhrmann,"Drama,Musical & Performing Arts,Romance","$55,093,223"
Harry Potter and the Sorcerer's Stone,"Nov 16, 2001",PG,3.7/5,152 minutes,Chris Columbus,"Action & Adventure,Kids & Family,Science Fiction & Fantasy","$317,557,891"
The Deep End,"Aug 15, 2001",R,3.3/5,99 minutes,"David Siegel,Scott McGehee","Drama,Mystery & Suspense","$8,301,918"
Calle 54,"May 11, 2001",G,3.8/5,105 minutes,Fernando Trueba,"Art House & International,Documentary,Drama,Musical & Performing Arts",
L.I.E.,"Sep 7, 2001",NC17,3.7/5,108 minutes,Michael Cuesta,"Art House & International,Drama",
The Closet (Le Placard),"May 4, 2001",R,3.7/5,85 minutes,Francis Veber,"Art House & International,Comedy,Drama","$4,519,967"
Va Savoir,"Sep 29, 2001",PG-13,3.5/5,154 minutes,Jacques Rivette,"Art House & International,Comedy,Drama,Romance",
Mulholland Drive,"Oct 19, 2001",R,3.7/5,147 minutes,David Lynch,"Drama,Mystery & Suspense,Special Interest","$7,077,663"
Ocean's Eleven,"Dec 7, 2001",PG-13,3.6/5,117 minutes,Steven Soderbergh,"Action & Adventure,Comedy,Drama","$183,349,128"
Rain,,,3.7/5,,,,
La Cienaga,"Oct 3, 2001",R,3.8/5,100 minutes,Lucrecia Martel,"Art House & International,Comedy,Drama",
Ginger Snaps,"Apr 21, 2001",R,3.4/5,108 minutes,John Fawcett,"Horror,Mystery & Suspense",
Italian for Beginners,"Sep 1, 2001",R,3.6/5,112 minutes,Lone Scherfig,"Art House & International,Comedy,Drama,Romance","$4,409,992"
Roozi ke zan shodam (The Day I Became a Woman),"Apr 6, 2001",NR,4/5,78 minutes,Mohsen Makhmalbaf,"Art House & International,Drama",
Nowhere in Africa (Nirgendwo in Afrika),"Mar 7, 2001",R,4/5,141 minutes,Caroline Link,"Art House & International,Drama","$5,888,057"
101 Reykjavik,,,3.5/5,,,,
Comment j'ai tué mon père (My Father and I),"Aug 8, 2001",NR,3.3/5,100 minutes,Anne Fontaine,"Art House & International,Drama",
Donnie Darko,"Jan 19, 2001",R,3.1/5,113 minutes,Richard Kelly,"Comedy,Mystery & Suspense,Science Fiction & Fantasy,Romance",
Life And Debt,"Sep 21, 2001",NR,4.1/5,80 minutes,Stephanie Black,"Documentary,Special Interest",
The Others,"Aug 10, 2001",PG-13,3.4/5,105 minutes,Alejandro Amenábar,"Horror,Mystery & Suspense","$96,080,075"
Kandahar: Le soleil derrière la lune,"Jan 1, 2001",PG,3.6/5,85 minutes,Mohsen Makhmalbaf,"Art House & International,Drama",
Our Song,,,3.8/5,,,,
Dinner Rush,"Sep 28, 2001",R,3.8/5,98 minutes,Bob Giraldi,"Action & Adventure,Comedy,Drama",
Eureka,"May 4, 2001",NR,4.1/5,218 minutes,Shinji Aoyama,"Art House & International,Drama,Mystery & Suspense",
Divided We Fall,"Jun 8, 2001",PG-13,4/5,120 minutes,Jan Hrebejk,"Art House & International,Comedy,Drama",
In the Mood for Love,"Feb 2, 2001",PG,4.3/5,97 minutes,Kar-Wai Wong,"Art House & International,Drama,Romance",
Mostly Martha (Bella Martha),"Aug 16, 2001",PG,4/5,106 minutes,"Sandra Nettelbeck,Sandra Nettlebeck","Art House & International,Comedy,Drama","$4,041,973"
Together,"Aug 24, 2001",R,4/5,106 minutes,Lukas Moodysson,"Art House & International,Comedy,Drama",
Trembling Before G-d,"Oct 24, 2001",NR,3.4/5,84 minutes,Sandi Simcha Dubowski,"Documentary,Special Interest,Faith & Spirituality",
Shrek,"May 18, 2001",PG,3.9/5,93 minutes,"Vicky Jenson,Andrew Adamson","Animation,Comedy,Kids & Family","$266,982,666"
Startup.com,"May 11, 2001",R,3.5/5,107 minutes,"Chris Hegedus,Jehane Noujaim","Documentary,Special Interest","$505,254"
Millennium Actress (Sennen joyû),"Jan 1, 2001",PG,4.1/5,87 minutes,Satoshi Kon,"Animation,Drama,Romance",
The Gleaners and I,"Apr 6, 2001",NR,3.9/5,82 minutes,Agnès Varda,"Art House & International,Documentary,Drama,Special Interest",
The Road Home (Wo de fu qin mu qin),"May 25, 2001",G,4.1/5,89 minutes,Yimou Zhang,"Art House & International,Drama,Romance","$370,465"
The Circle (Dayereh),,,3.7/5,,,,
Iron Monkey,"Oct 12, 2001",PG-13,3.8/5,86 minutes,Woo-ping Yuen,"Action & Adventure,Art House & International,Drama","$14,231,964"
Dogtown and Z-Boys,"Jan 19, 2001",PG-13,3.9/5,91 minutes,Stacy Peralta,"Documentary,Sports & Fitness","$1,187,606"
Last Resort,"Feb 23, 2001",PG-13,3.7/5,73 minutes,"Pavel Pavlikovskiy,Pawel Pawlikowski,Paul Pavlikovsky","Drama,Romance",
Apocalypse Now Redux,"Aug 17, 2001",R,4.3/5,195 minutes,Francis Ford Coppola,Drama,"$1,982,631"
Sous le sable (Under the Sand),"May 4, 2001",R,3.7/5,96 minutes,François Ozon,"Art House & International,Drama",
The Devil's Backbone (El Espinazo del diablo),"Nov 21, 2001",R,3.9/5,108 minutes,Guillermo del Toro,"Art House & International,Drama,Mystery & Suspense",
Hedwig and the Angry Inch,"Jan 19, 2001",R,4.1/5,91 minutes,John Cameron Mitchell,"Comedy,Drama,Musical & Performing Arts","$1,547,128"
Amélie,"Nov 2, 2001",R,4.2/5,121 minutes,Jean-Pierre Jeunet,"Art House & International,Comedy,Drama,Romance",
Ghost World,"Jul 20, 2001",R,3.7/5,111 minutes,Terry Zwigoff,"Comedy,Drama","$4,694,484"
Y Tu Mama Tambien,"Apr 1, 2001",R,3.9/5,106 minutes,Alfonso Cuarón,"Art House & International,Comedy,Drama,Romance","$13,622,333"
I'm Going Home,,,3.4/5,,,,
Spy Kids,"Mar 30, 2001",PG,2.6/5,88 minutes,Robert Rodriguez,"Action & Adventure,Comedy,Kids & Family,Mystery & Suspense",
Lagaan: Once Upon a Time in India,"Jun 15, 2001",PG,4.2/5,225 minutes,"Mansoor Khan,Ashutosh Gowariker","Art House & International,Comedy,Drama,Musical & Performing Arts",
In the Bedroom,"Nov 23, 2001",R,3.7/5,131 minutes,Todd Field,"Art House & International,Drama","$35,733,119"
No Man's Land,"Dec 21, 2001",R,4.1/5,98 minutes,Danis Tanovic,"Art House & International,Drama","$948,054"
Werckmeister Harmonies,"Jan 1, 2001",NR,4.3/5,145 minutes,"Ágnes Hranitzky,Bela Tarr","Art House & International,Drama,Horror",
The Lord of the Rings: The Fellowship of the Ring,"Dec 19, 2001",PG-13,4.1/5,165 minutes,Peter Jackson,"Action & Adventure,Classics,Drama,Science Fiction & Fantasy","$314,000,000"
Amores Perros,"Mar 30, 2001",R,4.2/5,153 minutes,Alejandro González Iñárritu,"Art House & International,Drama","$4,856,342"
The Dish,"Mar 14, 2001",PG-13,3.6/5,101 minutes,Rob Sitch,"Comedy,Drama",
With a Friend like Harry...,"May 4, 2001",R,3.6/5,117 minutes,Dominik Moll,"Art House & International,Comedy,Drama,Mystery & Suspense","$3,381,354"
The Pelican Brief,"Dec 17, 1993",PG-13,3.2/5,142 minutes,Alan J. Pakula,"Drama,Mystery & Suspense",
Last Action Hero,"Jun 18, 1993",PG-13,2.7/5,131 minutes,John McTiernan,"Action & Adventure,Comedy,Science Fiction & Fantasy",
Robin Hood: Men in Tights,"Jul 28, 1993",PG-13,3.4/5,105 minutes,Mel Brooks,Comedy,
The Endurance,,,3.8/5,,,,
"Crouching Tiger, Hidden Dragon","Jan 12, 2001",PG-13,3.6/5,120 minutes,Ang Lee,"Action & Adventure,Art House & International,Drama,Romance",
Ace Ventura: Pet Detective,"Jun 1, 1993",PG-13,3.1/5,86 minutes,Tom Shadyac,"Action & Adventure,Comedy",
Grumpy Old Men,"Dec 24, 1993",PG-13,3.2/5,103 minutes,Donald Petrie,"Comedy,Drama",
The Sandlot,"Apr 1, 1993",PG,3.6/5,101 minutes,David Mickey Evans,"Comedy,Drama,Kids & Family,Sports & Fitness",
Wayne's World 2,"Dec 10, 1993",PG-13,3.1/5,94 minutes,Stephen Surjik,Comedy,
Mrs. Doubtfire,"Nov 24, 1993",PG-13,3.4/5,126 minutes,Chris Columbus,"Comedy,Drama,Kids & Family",
Reality Bites,"Jun 1, 1993",PG-13,3.4/5,99 minutes,Ben Stiller,"Comedy,Drama,Romance",
Falling Down,"Feb 26, 1993",R,3.6/5,112 minutes,Joel Schumacher,"Action & Adventure,Drama,Mystery & Suspense",
Tombstone,"Dec 25, 1993",R,3.9/5,135 minutes,George P. Cosmatos,"Action & Adventure,Western",
Time Out (L' Emploi du temps),"Jan 1, 2001",PG-13,3.8/5,134 minutes,Laurent Cantet,"Art House & International,Comedy,Documentary,Drama",
Army of Darkness,"Feb 19, 1993",R,3.8/5,81 minutes,Sam Raimi,"Action & Adventure,Comedy,Horror,Science Fiction & Fantasy",
Rudy,"Oct 13, 1993",PG,3.7/5,114 minutes,David Anspaugh,"Drama,Kids & Family",
Sleepless in Seattle,"Jun 25, 1993",PG,3.3/5,105 minutes,Nora Ephron,"Comedy,Drama,Romance",
Cliffhanger,"May 28, 1993",R,2.8/5,113 minutes,Joe Gazzam,Action & Adventure,
Orlando,,,3.8/5,,,,
Addams Family Values,"Nov 19, 1993",PG-13,3.1/5,94 minutes,Barry Sonnenfeld,"Comedy,Horror",
Philadelphia,"Dec 22, 1993",PG-13,3.7/5,125 minutes,Jonathan Demme,Drama,
Carlito's Way,"Jan 1, 1993",R,3.8/5,145 minutes,Brian DePalma,Drama,
The Piano,"Nov 19, 1993",R,3.7/5,121 minutes,Jane Campion,"Art House & International,Drama,Romance",
What's Eating Gilbert Grape,"Dec 25, 1993",PG-13,3.7/5,117 minutes,Lasse Hallstrom,Drama,
Dazed and Confused,"Sep 24, 1993",R,3.8/5,103 minutes,Richard Linklater,Comedy,
In the Name of the Father,"Dec 29, 1993",R,4/5,133 minutes,Jim Sheridan,Drama,
True Romance,"Sep 10, 1993",R,3.9/5,116 minutes,Tony Scott,"Action & Adventure,Drama,Mystery & Suspense",
The Age of Innocence,"Oct 1, 1993",PG,3.5/5,138 minutes,Martin Scorsese,"Drama,Romance",
The Firm,"Jun 1, 1993",R,3.2/5,154 minutes,Sydney Pollack,"Drama,Mystery & Suspense",
The Secret Garden,"Mar 18, 1993",G,3.3/5,103 minutes,Agnieszka Holland,"Drama,Kids & Family",
Dave,"May 7, 1993",PG-13,3.1/5,110 minutes,Ivan Reitman,"Comedy,Romance",
What's Love Got To Do With It?,"Jun 9, 1993",R,3.6/5,118 minutes,Brian Gibson,"Drama,Musical & Performing Arts",
Three Colors: Blue (Trois Couleurs: Bleu),"Dec 5, 1993",R,4.2/5,98 minutes,Krzysztof Kieslowski,"Art House & International,Drama,Mystery & Suspense,Romance",
The Remains of the Day,"Nov 5, 1993",PG,3.8/5,134 minutes,James Ivory,"Drama,Romance",
Jurassic Park,"Jun 11, 1993",PG-13,3.6/5,126 minutes,Steven Spielberg,"Action & Adventure,Mystery & Suspense,Science Fiction & Fantasy","$45,299,680"
In the Line of Fire,"Jul 9, 1993",R,3.4/5,127 minutes,Wolfgang Petersen,"Action & Adventure,Mystery & Suspense",
Naked,"Oct 15, 1993",R,4.3/5,126 minutes,Mike Leigh,Drama,
Much Ado About Nothing,"May 7, 1993",PG-13,3.6/5,110 minutes,Kenneth Branagh,"Comedy,Drama,Romance",
Groundhog Day,"Feb 12, 1993",PG,3.4/5,102 minutes,Harold Ramis,"Comedy,Science Fiction & Fantasy,Special Interest,Romance",
Short Cuts,,,3.9/5,,,,
Mary Reilly,"Feb 23, 1996",R,2.8/5,108 minutes,Stephen Frears,"Drama,Horror,Mystery & Suspense",
The Nightmare Before Christmas,"Oct 24, 1993",PG,3.8/5,76 minutes,"Henry Selick,Tim Burton","Animation,Kids & Family,Science Fiction & Fantasy","$8,616,662"
